mvars,svars,custom_names
affAnx,NA,NA
affBor,NA,NA
affCalm,NA,NA
affContent,NA,NA
affDepr,NA,NA
affEnerg,NA,NA
affExc,NA,NA
affNerv,NA,NA
affExh,NA,NA
affInsp,NA,NA
affRel,NA,NA
affHighPos.m,NA,affHighPos
affHighNeg.m,NA,affHighNeg
affLowPos.m,NA,affLowPos
affLowNeg.m,NA,affLowNeg
extC19Msg,extC19Msg,gov
c19IsStrict,c19IsStrict,comRule
c19IsPunish,c19IsPunish,comPunish
c19IsOrg,c19IsOrg,comOrg
lone.m,lone.m,lone
isoPers.m,isoPers.m,isoPers
isoOnl.m,isoOnl.m,isoOnl
c19perBeh01,c19perBeh01,behWash
c19perBeh02,c19perBeh02,behAvoid
c19Hope,c19Hope,covidHope
c19Eff,c19Eff,covidEff
para.m,para.m,para
consp.m,consp.m,consp
